Model,Seed,Epoch,Train_Loss,Test_Loss,Train_Acc,Test_Acc,F1,AUROC,Epoch_time
CNN-augmented_Adam_lr0.01_wd0.0,15,18,0.2602,0.7451,0.8908,0.7033,0.6331,0.8382,12.02
CNN-augmented_Adam_lr0.01_wd0.0,15,19,0.2472,0.6734,0.897,0.7272,0.6986,0.8318,11.99
CNN-augmented_Adam_lr0.01_wd0.0,15,20,0.2505,0.6524,0.8952,0.7578,0.725,0.8522,12.01
CNN-augmented_Adam_lr0.01_wd0.0,15,21,0.2439,0.6465,0.8987,0.7475,0.7257,0.8477,11.99
CNN-augmented_Adam_lr0.01_wd0.0,15,22,0.2433,0.7148,0.8982,0.7319,0.739,0.8141,12.0
CNN-augmented_Adam_lr0.01_wd0.0,15,23,0.2304,0.7109,0.9053,0.746,0.7023,0.8593,12.0
CNN-augmented_Adam_lr0.01_wd0.0,15,24,0.2357,0.9121,0.9005,0.7273,0.6532,0.8562,12.05
CNN-augmented_Adam_lr0.01_wd0.0,15,25,0.2301,0.9301,0.9067,0.7339,0.6789,0.8278,11.98
CNN-augmented_Adam_lr0.01_wd0.0,15,26,0.2239,0.9115,0.9097,0.7092,0.6234,0.8469,12.0
CNN-augmented_Adam_lr0.01_wd0.0,15,27,0.2202,0.6767,0.9101,0.7648,0.7484,0.8485,12.01
CNN-augmented_Adam_lr0.01_wd0.0,15,28,0.2216,0.7634,0.9096,0.7572,0.7226,0.8449,11.99
CNN-augmented_Adam_lr0.01_wd0.0,15,29,0.2129,0.9958,0.9127,0.6832,0.5984,0.8096,12.05
CNN-augmented_Adam_lr0.01_wd0.0,15,30,0.2091,0.8272,0.915,0.7476,0.7122,0.8301,11.94
CNN-augmented_Adam_lr0.01_wd0.0,67,1,0.4865,0.5608,0.761,0.7248,0.715,0.8103,11.96
CNN-augmented_Adam_lr0.01_wd0.0,67,2,0.4242,0.6086,0.7942,0.6952,0.6444,0.817,12.02
CNN-augmented_Adam_lr0.01_wd0.0,67,3,0.4032,0.6513,0.8099,0.7073,0.6712,0.8088,12.03
CNN-augmented_Adam_lr0.01_wd0.0,67,4,0.3885,0.6997,0.8203,0.6901,0.6297,0.8119,11.97
CNN-augmented_Adam_lr0.01_wd0.0,67,5,0.3778,0.5844,0.8284,0.7249,0.7111,0.8145,12.01
CNN-augmented_Adam_lr0.01_wd0.0,67,6,0.3604,0.7811,0.8387,0.6746,0.5732,0.8124,12.01
